ERA_USD	2019-04-09	0.000026	0.000027	0.000027	0.000026	0
ERA_USD	2019-04-08	0.000027	0.000026	0.000027	0.000026	0
ERA_USD	2019-04-07	0.000026	0.000025	0.000026	0.000025	0
ERA_USD	2019-04-06	0.000025	0.000025	0.000026	0.000025	0
ERA_USD	2019-04-05	0.000025	0.000025	0.000026	0.000025	0
ERA_USD	2019-04-04	0.000025	0.000025	0.000025	0.000024	0
ERA_USD	2019-04-03	0.000025	0.000025	0.000027	0.000024	0
ERA_USD	2019-04-02	0.000025	0.000021	0.000025	0.000021	0
ERA_USD	2019-04-01	0.000021	0.000021	0.000021	0.000021	0
ERA_USD	2019-03-31	0.000021	0.000021	0.000021	0.000021	0
ERA_USD	2019-03-30	0.000021	0.000021	0.000021	0.000021	0
ERA_USD	2019-03-29	0.000021	0.000020	0.000021	0.000020	0
ERA_USD	2019-03-28	0.000020	0.000021	0.000021	0.000020	0
ERA_USD	2019-03-27	0.000021	0.000020	0.000021	0.000020	0
ERA_USD	2019-03-26	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-25	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-24	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-23	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-22	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-21	0.000020	0.000021	0.000021	0.000020	0
ERA_USD	2019-03-20	0.000020	0.000021	0.000021	0.000020	0
ERA_USD	2019-03-19	0.000020	0.000020	0.000021	0.000020	0
ERA_USD	2019-03-18	0.000020	0.000020	0.000021	0.000020	0
ERA_USD	2019-03-17	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-16	0.000020	0.000020	0.000021	0.000020	0
ERA_USD	2019-03-15	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-14	0.000020	0.000020	0.000020	0.000019	0
ERA_USD	2019-03-13	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-12	0.000020	0.000020	0.000020	0.000019	0
ERA_USD	2019-03-11	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-10	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-09	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-08	0.000020	0.000020	0.000020	0.000019	0
ERA_USD	2019-03-07	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-06	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-03-05	0.000020	0.000019	0.000020	0.000019	0
ERA_USD	2019-03-04	0.000019	0.000019	0.000020	0.000019	0
ERA_USD	2019-03-03	0.000019	0.000020	0.000020	0.000019	0
ERA_USD	2019-03-02	0.000020	0.000020	0.000020	0.000019	0
ERA_USD	2019-03-01	0.000020	0.000019	0.000020	0.000019	0
ERA_USD	2019-02-28	0.000019	0.000019	0.000020	0.000019	0
ERA_USD	2019-02-27	0.000019	0.000019	0.000020	0.000019	0
ERA_USD	2019-02-26	0.000019	0.000020	0.000020	0.000019	0
ERA_USD	2019-02-25	0.000020	0.000019	0.000020	0.000019	0
ERA_USD	2019-02-24	0.000019	0.000021	0.000021	0.000019	0
ERA_USD	2019-02-23	0.000021	0.000020	0.000021	0.000020	0
ERA_USD	2019-02-22	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-02-21	0.000020	0.000020	0.000021	0.000020	0
ERA_USD	2019-02-20	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-02-19	0.000020	0.000020	0.000020	0.000020	0
ERA_USD	2019-02-18	0.000020	0.000019	0.000020	0.000019	0
ERA_USD	2019-02-17	0.000019	0.000018	0.000019	0.000018	0
ERA_USD	2019-02-16	0.000019	0.000018	0.000019	0.000018	0
ERA_USD	2019-02-15	0.000018	0.000018	0.000019	0.000018	0
